image_number,image,text,egyptian
151.0,1164765687_7aca07bbe7.jpg,رجل في قميص أحمر يعطي ألعاب لكلب صغير,راجل لابس قميص أحمر بيدّي ألعاب لـ كلب صغير
152.0,1167662968_e466f1e80a.jpg,رجل مع حلقة الأنف,راجل عنده خاتم في خرم أنفه
153.0,1167669558_87a8a467d6.jpg,رجل يلبس الأصفر,راجل لابس أصفر
154.0,1167908324_8caab45e15.jpg,رجل يقف بجانب مجموعة من ألعاب الفيديو في حانة,راجل واقف جنب مجموعة ألعاب فيديو في كافيه
155.0,1169307342_e7a4685a5c.jpg,كلب كبير بني يلعب مع كلب رمادي أصغر على العشب,كلب كبير بني بيلعب مع كلب رمادي أصغر على العشب
156.0,1174525839_7c1e6cfa86.jpg,فتاة تقفز في الهواء بجانب المحيط,بنت بتقفز في الهوا جنب البحر
157.0,1174629344_a2e1a2bdbf.jpg,حشد من الناس يسيرون على رصيف مزدحم,زحمة ناس ماشيين على الرصيف
158.0,1176580356_9810d877bf.jpg,كلب كبير يمسك كرة على أنفه,كلب كبير ماسك كرة على أنفه
159.0,1177994172_10d143cb8d.jpg,صبيان يرشان بعضهما ببعض بالماء,ولاد بيهرشوا بعض بالمايه
160.0,1178705300_c224d9a4f1.jpg,كلب بني يقفز في بركة خلف كرة,كلب بني بيقفز في بركة ورا كرة
161.0,118187095_d422383c81.jpg,يدفع الآباء الأطفال الصغار في سيارات حمراء,أبوين بيدفعوا ولاد صغار في عربيات حمرا
162.0,118309463_a532b75be9.jpg,فريق البيسبول الأولاد يرتدون زيهم الرسمي,فريق بيسبول ولاد لابسين لبسهم الرسمي
163.0,1184967930_9e29ce380d.jpg,كلب بني يركض عبر العشب والزهور,كلب بني بيجري على العشب والزهور
164.0,1187435567_18173c148b.jpg,كلب صغير باللونين البني والأسود,كلب صغير بني وأسود
165.0,1187593464_ce862352c6.jpg,كلب يمر عبر حقل عشبي بعصا في فمه,كلب بيعدّي في حقل عشبي ومعاه عصاية في بقه
166.0,1189977786_4f5aaed773.jpg,كلب يقفز في حمام السباحة,كلب بيقفز في حمام السباحة
167.0,1191338263_a4fa073154.jpg,سيدة تجلس بجوار إعلان,ستّ بتقعد جنب إعلان
168.0,1193116658_c0161c35b5.jpg,فتاة رتركب الدراجة الهوائية الأحادية العجلة,بنت بتركب عربية بـ عجلة واحدة
169.0,119534510_d52b3781a3.jpg,رجل في قميص بني يجلس على منصة ويقرأ,راجل لابس قميص بني قاعد على منصة وبيقرأ
170.0,1197800988_7fb0ca4888.jpg,شخص يجلس على طاولة خلف شجرة,واحد قاعد على ترابيزة ورا شجرة
171.0,1198194316_543cc7b945.jpg,زوجان يمشيان على رصيف,زوجين ماشيين على الرصيف
172.0,1204996216_71d7519d9a.jpg,صبي ينام على مقعد طاولة نزهة,ولد نايم على كرسي ترابيزة نزهة
173.0,1206506157_c7956accd5.jpg,الكلاب تتقاتل في العشب على لعبة,كلاب بتتخانق على العشب على لعبة
174.0,1207159468_425b902bfb.jpg,صبي يمتثل لصورة وفي الخلفية يتعلق رجل بحبل,ولد بيقف لـ صورة وراجل متعلق في حبل في الخلفية
175.0,1211015912_9f3ee3a995.jpg,فتاة في ثوب بني يحيط بها الأطفال,بنت لابسة فستان بني حواليها ولاد
176.0,1213336750_2269b51397.jpg,رجل يرتدي سترة سوداء يأخذ صورة لرجل يرتدي سترة حمراء,راجل لابس جاكيت أسود بياخد صورة لراجل لابس جاكيت أحمر
177.0,1215334959_b1970965f7.jpg,عائلة تجلس على مقعد بالقرب من الشاطئ,عيلة قاعدين على كرسي جنب الشاطئ
178.0,121800200_bef08fae5f.jpg,تسلق مجموعة من متسلقي الصخور جدارًا صخريًا في إحدى الغابات,مجموعة متسلقين صخور بيتسلقوا حيط صخري في غابة
179.0,121971540_0a986ee176.jpg,يتسلق رجلان القارب,اتنين رجالة بيتسلقوا القارب
180.0,1220401002_3f44b1f3f7.jpg,طفلان يضحكان في العشب,اتنين ولاد بيضحكوا على العشب
181.0,1222322358_225067636e.jpg,صبي في قميص أحمر وأبيض على الأرجوحة,ولد لابس قميص أحمر وأبيض على الأرجوحة
182.0,1224851143_33bcdd299c.jpg,صبي يأكل بملعقة,ولد بياكل بملعقة
183.0,1225443522_1633e7121f.jpg,فتاة تمشي لوحدها في الليل في أحد الشوارع,بنت ماشية لوحدها في الليل في شارع
184.0,1227655020_b11a1bb112.jpg,كلب أسود وكلب أسمر يلعبان في أعشاب ضارة,كلب أسود وكلب أسمر بيلعبوا في عشب
185.0,1229756013_94663527d7.jpg,كلب بني يقفز في الهواء على سهل بني,كلب بني بيقفز في الهوا على سهل بني
186.0,1231229740_8dcbf80bfb.jpg,ينام الطفل ذو الملابس الرمادية على وسادة حمراء,طفل لابس لبس رمادي نايم على مخدة حمرا
187.0,1232148178_4f45cc3284.jpg,طفلة تعلب في حديقة,بنت بتلعب في حديقة
188.0,1234293791_6566284bcd.jpg,فتاة في خوذة ركوب الخيل,بنت لابسة خوذة ركوب خيل
189.0,1234817607_924893f6e1.jpg,رجل كوري يبيع الصودا,راجل كوري بيبيع صودا
190.0,1235580648_7eebaed9bc.jpg,رجلين في القبعات العالية يعبسون للكاميرا,اتنين رجالة في قبعات عالية زعلانين من الكاميرا
191.0,1235681222_819231767a.jpg,شخص في قميص أزرق يجلس وراء شخصين يجلسان على مقعد خشبي,واحد لابس قميص أزرق قاعد ورا اتنين قاعدين على كرسي خشبي
192.0,1235685934_be89b231fb.jpg,رجل في النظارات الشمسية,راجل في نظارة شمس
193.0,1236951314_0308dc4138.jpg,صبي في ثوب السباحة يقفز إلى بركة مع رجل أصلع,ولد لابس مايوه بيقفز في بركة مع راجل أصلع
194.0,1236964638_1808784a3c.jpg,صبي يقفز من لوحة الغوص الى بركة,ولد بيقفز من لوحة غوص في بركة
195.0,1237985362_dbafc59280.jpg,سيدة تحمل فتاة صغيرة تحاول التقاط فقاعات,ستّ شايلة بنت صغيرة بتحاول تمسك فقاعات
196.0,123889082_d3751e0350.jpg,كلب أسمر يعض أذن كلب رمادي,كلب أسمر بيعض أذن كلب رمادي
197.0,123997871_6a9ca987b1.jpg,الفتيات يرتدين الزي الرياضي,بنات لابسين لبس رياضي
198.0,1240297429_c36ae0c58f.jpg,كلب يجري في حقل,كلب بيجري في حقل
199.0,124195430_d14028660f.jpg,حصان أسمر ومهر أسود على الشاطئ,"حصان أسمر ومهر أسود على الشاطئ
"
200.0,1244140539_da4804d828.jpg,كلب بني وأسود ينام سجادة أشعث,كلب بني وأسود نايم على سجادة مشرشحة
201.0,1244306891_8e78ae1620.jpg,مجموعة من الأصدقاء يبتسمون لالتقاط صورة على الشاطئ, مجموعة صحاب بيضحكوا عشان يصوروا صورة على الشاطئ
202.0,1244485675_822e6efe60.jpg,صبي في قميص رمادي وأبيض ينظر إلى انعكاسه, ولد لابس قميص رمادي وأبيض وبيبص على انعكاسه
203.0,1245022983_fb329886dd.jpg,فتاة صغيرة ترقص و يديها على الوركين, بنت صغيرة بترقص ويديها على وركها
204.0,1247181182_35cabd76f3.jpg,رجل يجلس على صخرة, راجل قاعد على صخرة
