image_number,image_number,image,text,egyptian,Moroccan
24,24,1030985833_b0902ea560.jpg,كلب أسود وكلب بني يقفزان للقبض على لعبة حمراء,كلب أسود و كلب بني بيقفزوا عشان يمسكوا لعبة حمرا,كلب أسود وكلب بني كيتسلقوا باش يمسكوا لعبة حمراء
25,25,103106960_e8a41d64f8.jpg,طفل يرتدي سترة حمراء يلعب هوكي,طفل لابس جاكيت أحمر بيلعب هوكي,وليد لابس سترة حمراء كيقلب هوكي
26,26,103195344_5d2dc613a3.jpg,رجل يجلس ويقرأ صحيفة,راجل قاعد بيقرأ جريدة,راجل كيقعد و كيقرا جريدة
27,27,103205630_682ca7285b.jpg,يتم وضع خيمة على الجليد,بيحطوا خيمة على الثلج,خيمة كتحط ف الثلج
28,28,1032122270_ea6f0beedb.jpg,امرأة تجثم بالقرب من ثلاثة كلاب في حقل,ست قاعدة جنب تلات كلاب في حتة فيها عشب,امراة كتقعد حدا تلاتة كلاب ف الحقل
29,29,1032460886_4a598ed535.jpg,رجل يقف أمام ناطحة سحاب,راجل واقف قدام ناطحة سحاب,راجل واقف قدام ناطحة سحاب
30,30,1034276567_49bb87c51c.jpg,طفل يقضم سلعة مخبوزة,طفل بياكل حاجة مخبوزة,وليد كياكل خبزة
31,31,104136873_5b5d41be75.jpg,ثلاثة أشخاص على قمة تطل على واد أخضر,تلات أشخاص على قمة بتطل على وادي أخضر,تلاتة ناس ف قمة كتشوف واد أخضر
32,32,1042020065_fb3d3ba5ba.jpg,صبي في قميص أخضر يشاهد القوارب,ولد لابس قميص أخضر بيشوف القوارب,وليد ف قميص أخضر كيشوف القوارب
33,33,1042590306_95dea0916c.jpg,رجل وامرأة يمثلان للكاميرا بينما ينظر رجل آخر,راجل و ست بيمثلوا للكاميرا و راجل تاني بيشوف,راجل وامراة كيمثلوا للكاميرا و راجل أخر كيشوف
34,34,1045521051_108ebc19be.jpg,شخص يجلس على الأرض ويأكل أمام التلفزيون,واحد قاعد على الأرض بياكل قدام التلفزيون,واحد كيقعد على الأرض و كياكل قدام التلفزيون
35,35,1048710776_bb5b0a5c7c.jpg,بضعة أشخاص يجلسون على حافة تطل على الشاطئ,كام واحد قاعدين على حافة بتطل على الشاطئ,شوية ناس كيقعدوا ف حافة كتشوف الشاطئ
36,36,1052358063_eae6744153.jpg,يقوم الطفل بأداء خدعة لوح التزلج بينما يميل طفل آخر يحمل لوح تزلج على الحائط,طفل بيعمل حيلة على لوح التزلج و طفل تاني ماسك لوح تزلج متكئ على الحيط,وليد كيدير خدعة ديال لوح التزلج و وليد أخر كيحمل لوح التزلج على الحيط
37,37,105342180_4d4a40b47f.jpg,فتاة تتجول في نهر كبير,بنت ماشية في نهر كبير,بنت كتمشي ف نهر كبير
38,38,1053804096_ad278b25f1.jpg,فتاة تلعب في الأمواج,بنت بتلعب في الأمواج,بنت كتلعب ف الأمواج
39,39,1055623002_8195a43714.jpg,مجموعة من الأطفال يتعاركون بالوسادات,مجموعة أطفال بيتخانقوا بالمخاد,مجموعة ديال ولاد كيتعاركو بالوسادات
40,40,1055753357_4fa3d8d693.jpg,اثنين من عمال البناء يأخذون استراحة,اتنين عمال بناء بياخدوا بريك,جوج عمال ديال البناء كياخدو راحة
41,41,1056249424_ef2a2e041c.jpg,يلعب الأطفال في الماء,أطفال بيلعبوا في الماية,ولاد كيلعبوا ف الماء
42,42,1056338697_4f7d7ce270.jpg,امرأة شقراء في قميص أزرق تنتظر رحلة,ست شقرا لابسة قميص أزرق مستنية رحلة,امراة شقراء ف قميص أزرق كتنظر رحلة
43,43,1056359656_662cee0814.jpg,فتاة صغيرة تنظر في كتيب عن ركوب القطار,بنت صغيرة بتبص في كتيب عن ركوب القطار,بنت صغيرة كتشوف ف كتيب عن ركوب القطار
44,44,1056873310_49c665eb22.jpg,كلب أسود يركض خلف كلب أسود على شاطئ صخري,كلب أسود بيجري ورا كلب أسود على شاطئ صخري,كلب أسود كيجري ورا كلب أسود على شاطئ صخري
45,45,1057089366_ca83da0877.jpg,صبي ينزل عن لوح الغطس العالي,ولد بينزل من لوح الغطس العالي,وليد كينزل من لوح الغطس العالي
46,46,1057210460_09c6f4c6c1.jpg,رجل يقف بجانب نافذة يخلع قميصه,راجل واقف جنب شباك بيقلع قميصه,راجل واقف حدا نافذة كيحل قميصه
47,47,1057251835_6ded4ada9c.jpg,كلب خفيف اللون يركض على الشاطئ,كلب فاتح اللون بيجري على الشاطئ,كلب فاتح اللون كيجري ف الشاطئ
48,48,106490881_5a2dd9b7bd.jpg,صبي في ملابس السباحة الزرقاء على الشاطئ,ولد لابس لبس سباحة أزرق على الشاطئ,وليد ف ملابس السباحة زرقاء ف الشاطئ
49,49,106514190_bae200f463.jpg,مسافر يقف على قمة تطل على الجبال أدناه,"مسافر واقف على قمة بتطل على الجبال 
"," مسافر واقف ف قمة كتشوف الجبال 
"
50,50,1067180831_a59dc64344.jpg,كلب أبيض وأسود يقفز وراء لعبة صفراء,كلب أبيض وأسود بيقفز ورا لعبة صفرا,كلب أبيض و أسود كيطلع و ينزل فوق لعابة صفراء
51,51,1067675215_7336a694d6.jpg,رجل يرتدي سراويل زرقاء اللون في الشارع,راجل لابس بنطلون أزرق في الشارع,راجل لابس سروال أزرق في الشارع
52,52,1067790824_f3cc97239b.jpg,كلب أبيض وأسود وكلب بني في الرمل,كلب أبيض وأسود وكلب بني في الرمل,كلب أبيض و أسود و كلب بني في الرمال
53,53,1072153132_53d2bb1b60.jpg,كلب أبيض وأسود يمسك لعبة في الجو,كلب أبيض وأسود ماسك لعبة في الجو,كلب أبيض و أسود ماسك لعابة في الهواء
54,54,107318069_e9f2ef32de.jpg,حشد يشاهد بالونات الهواء في الليل,جمهور بيشوف بالونات الهوا في الليل,جمع من الناس كيشوفو البالونات في الليل
55,55,1075716537_62105738b4.jpg,طفل مع خوذة على رأسه يركب دراجة,طفل مع خوذة على راسه بيركب دراجة,وليد مع خوذة على راسو كيركب دراجة
56,56,107582366_d86f2d3347.jpg,تجمع مجموعة من الناس في الظلام,مجموعة من الناس متجمعة في الظلام,جمع من الناس كيتجمعو في الظلام
57,57,1075867198_27ca2e7efe.jpg,رجل في قميص بني وشورت غامق يلعب على الشاطئ مع اثنين من الكلاب السوداء,راجل في قميص بني وشورت غامق بيلعب على الشاطئ مع اتنين كلاب سود,راجل لابس قميص بني و شورت غامق كيلعب على الشاطئ مع جوج كلاب سود
58,58,1075881101_d55c46bece.jpg,صبي ينظف الفقاعات من وجهه,ولاد بيغسل الفقاعات من وشه,وليد كيغسل الفقاعات من وجهو
59,59,1077546505_a4f6c4daa9.jpg,ينزلق صبي في شورت أزرق إلى أسفل في بركة,ولاد بيلزق في شورت أزرق لتحت في بركة,وليد كينزل في بركة لابس شورت أزرق
60,60,1077931201_1e0bb83105.jpg,رجل في الماء يرمي صبيًا صغيرًا في الهواء وينتظر أن ينزل حتى يتمكن من الإمساك به,راجل في المية بيرمي ولاد صغير في الهوا وبيستنى ينزل عشان يمسكه,راجل في الماء كيرمي وليد صغير في الهواء و كيستنا حتى ينزل باش يمسكو
61,61,1079274291_9aaf896cc1.jpg,صبي صغير يخرج لسانه من أجل الكاميرا,ولاد صغير بيطلع لسانه للكاميرا,وليد صغير كيطلع لسانو للكاميرا
62,62,10815824_2997e03d76.jpg,حصان أشقر وفتاة شقراء في قميص أسود يحدقان في نار في برميل,حصان أشقر وبنت شقرا في قميص أسود بيحدقوا في نار في برميل,فرس أشقر و بنت شقراء لابسة قميص أسود كيتفرجو على نار في برميل
63,63,1082252566_8c79beef93.jpg,كلب نحيف كبير يقف بالقرب من كلبين أصغر حجما,كلب نحيف كبير واقف جنب اتنين كلاب أصغر,كلب كبير رقيق واقف قريب من جوج كلاب صغار
64,64,1082379191_ec1e53f996.jpg,سيدة ورجل بدون قميص يجلسان على منصة,ست وراجل من غير قميص قاعدين على منصة,سيدة و راجل بلا قميص كيقعدو على منصة
65,65,1084040636_97d9633581.jpg,كلب أبيض كبير ملقى على الأرض,كلب أبيض كبير نايم على الأرض,كلب أبيض كبير ملقى على الأرض
66,66,1084104085_3b06223afe.jpg,امرأة في شورت أزرق وقميص أبيض تتسلق الصخور في مكان مغلق,ست في شورت أزرق وقميص أبيض بتسلق الصخور في مكان مغلق,مرا لابسة شورت أزرق و قميص أبيض كطلع في الصخور في بلاصة مغلوقة
67,67,1087168168_70280d024a.jpg,صبي يقفز في الماء,ولاد بيقفز في المية,وليد كيطلع في الماء
68,68,1087539207_9f77ab3aaf.jpg,عائلة تلعب على جرار في يوم جميل,عيلة بتلعب على جرار في يوم جميل,عائلة كتلعب على جرار في يوم جميل
69,69,1088767354_2acee738cf.jpg,امرأة في زي أحمر,ست في لبس أحمر,مرا لابسة لباس أحمر
70,70,108898978_7713be88fc.jpg,رجلان يتزلجان في الثلج في منطقة حرجية,اتنين رجالة بيتزلجوا في الثلج في منطقة حرجية,جوج رجال كينزلو في الثلج في غابة
71,71,108899015_bf36131a57.jpg,متسلق وحيد يشق طريقه فوق الجبل,متسلق لوحده بيشق طريقه فوق الجبل,متسلق وحيد كيطلع على الجبل
72,72,1089181217_ee1167f7af.jpg,كلب بني يهرول في طريق ممهد,كلب بني بيجرى في طريق ممهد,كلب بني كيجري في طريق ممهد
73,73,1089755335_0bfbfd30e6.jpg,الأم والطفل يصطادان على الممر في الليل,الأم والطفل بيصطادوا على الممر في الليل,الأم و وليد كيتصايدو في الليل
74,74,109202756_b97fcdc62c.jpg,امرأة ترتدي سترة زرقاء وجينز أزرق تركب حصانًا بنيًا بالقرب من بحيرة متجمدة وجبل مغطى بالثلج,ست لابسة جاكيت أزرق وجينز أزرق راكبة حصان بني جنب بحيرة متجمدة وجبل مغطى بالثلج,مرا لابسة جاكيت أزرق و جينز أزرق كتركب فرس بني قريب من بحيرة متجمدة و جبل مغطي بالثلج
75,75,109202801_c6381eef15.jpg,اثنين من الخيول تسحب عربة عبر الثلج,اتنين خيول بيسحبوا عربية عبر الثلج,جوج خيول كيسحبو عربة في الثلج
76,76,109260216_85b0be5378.jpg,شخص يتسلق صخرة باستخدام حبل,واحد بيتسلق صخرة باستخدام حبل,شخص كيطلع على صخرة باستعمال حبل
77,77,109260218_fca831f933.jpg,يقف الناس داخل قبة صخرية,ناس واقفة جوه قبة صخرية,الناس واقفين في قبة صخرية
78,78,1093716555_801aacef79.jpg,مجموعة من الرحالة تكمن على الأرض الجافة,مجموعة من الرحالة نايمة على الأرض الجافة,جمع من الرحالة كيقعدو على الأرض الجافة
79,79,1093737381_b313cd49ff.jpg,امرأة ترتدي ثوبًا أزرق اللون تقف مع صورة طباشيرية لطفلين يلعبان في نهر,ست لابسة فستان أزرق واقفة مع صورة طباشيرية لولاد بيلعبوا في نهر,مرا لابسة لباس أزرق واقفة مع صورة طباشيرية لوليدين كيلعبو في نهر
80,80,1094462889_f9966dafa6.jpg,كلب بني يلعب في كومة من الثلج العميقة,كلب بني بيلعب في كومة من الثلج العميقة,كلب بني كيلعب في كومة من الثلج
81,81,1095476286_87d4f8664e.jpg,صبي يقفز في نافورة,ولاد بيقفز في نافورة,وليد كيطلع في نافورة
82,82,1095580424_76f0aa8a3e.jpg,كلب يخرج من نفق,كلب بيخرج من نفق,كلب كيطلع من نفق
83,83,1095590286_c654f7e5a9.jpg,كلب يطارد كلب آخر,كلب بيطارد كلب تاني,كلب كيجري ورا كلب آخر
84,84,1095980313_3c94799968.jpg,فتاة صغيرة في ملابس السباحة الزرقاء تمشي على طول سياج خشبي بجوار شاطئ رملي,بنت صغيرة في لبس البحر الأزرق ماشية على طول سور خشبي جنب شاطئ رملي,بنت صغيرة لابسة ملابس سباحة زرقاء كتمشي على طول سياج خشبي قريب من شاطئ رملي
85,85,1096097967_ac305887b4.jpg,كلب أبيض وأسود يشرب الماء,كلب أبيض وأسود بيشرب مية,كلب أبيض و أسود كيشرب الماء
86,86,1096165011_cc5eb16aa6.jpg,صبي يبتسم تحت الماء,ولاد بيبتسم تحت المية,وليد كيبسم تحت الماء
87,87,1096395242_fc69f0ae5a.jpg,صبي مع بندقية لعبة,ولاد مع بندقية لعبة,وليد مع بندقية لعبة
88,88,109671650_f7bbc297fa.jpg,صبي يرتدي الأزرق والأصفر يسير على حافة منحدر,ولاد لابس أزرق وأصفر ماشي على حافة منحدر,وليد لابس الأزرق و الأصفر كيمشي على حافة منحدر
89,89,109738763_90541ef30d.jpg,شخص على عربة الثلج في منتصف القفزة,واحد على عربة الثلج في نص القفزة,شخص على عربة الثلج في وسط القفزة
90,90,109738916_236dc456ac.jpg,الناس يركبون على عربات الثلوج,ناس راكبة على عربات الثلج,الناس كيركبو على عربات الثلج
91,91,109823394_83fcb735e1.jpg,ثلاثة أشخاص يقودون مركبات رباعية الدفع,تلاتة أشخاص بيقودوا مركبات رباعية الدفع,ثلاثة أشخاص كيقودو مركبات رباعية الدفع
92,92,109823395_6fb423a90f.jpg,مركبة بأربع دواليب تقفز في حقل فارغ,مركبة بأربع دواليب بتقفز في حقل فاضي,مركبة بأربع دواليب كطلع في حقل فارغ
93,93,109823397_e35154645f.jpg,رجل يقفز في الهواء أثناء ركوب مركبة,راجل بيقفز في الهوا وهو راكب مركبة,راجل كيطلع في الهواء وهو كيركب مركبة
94,94,1100214449_d10861e633.jpg,صبي في قميص مقلم يقفز أمام نافورة ماء,ولاد في قميص مخطط بيقفز قدام نافورة مية,وليد لابس قميص مقلم كيطلع قدام نافورة ماء
95,95,1104133405_c04a00707f.jpg,صبي يحمل كرة قدم,ولاد شايل كرة قدم,وليد حامل كرة قدم
96,96,1105959054_9c3a738096.jpg,طفل يرسم صورة,طفل بيرسم صورة,وليد كيرسم صورة
97,97,110595925_f3395c8bd6.jpg,يقود راكب الدراجة دراجة على طريق,راكب الدراجة بيقود دراجة على طريق,راكب الدراجة كيركب دراجة على طريق
98,98,1107246521_d16a476380.jpg,كلب أسود يقفز للقبض على لعبة حبل,كلب أسود بيقفز عشان يمسك لعبة حبل,كلب أسود كيطلع باش يمسك لعابة حبل
99,99,1107471216_4336c9b328.jpg,فتاة صغيرة تمسك بكاميرا سينمائية,"بنت صغيرة ماسكة كاميرا سينمائية 
"," بنت صغيرة ماسكة كاميرا سينمائية
"
100,100,1110208841_5bb6806afe.jpg,كلب أبيض وبني يمسك بالفريسبي في فمه أمام مجموعة من الناس,كلب أبيض وبني ماسك الفريسبي ببوقه قدام مجموعة ناس,كلب أبيض و بني كيحمل فريسبي ف فمه قدام واحد جماعة ديال ناس
101,101,1112212364_0c48235fc2.jpg,طفل يرص الصخور على الشاطئ,طفل بيرص الحجارة على الشط,واحد ولد صغير كيحط الحجارة فوق بعضهم ف البحر
102,102,111497985_38e9f88856.jpg,شاب يتسلق تلة صخرية,شاب بيتسلق تل صخري,واحد شاب كيطلع واحد الجبل ديال الحجارة
103,103,111537217_082a4ba060.jpg,رجل يتسلق جدار صخري,راجل بيتسلق حيط صخري,واحد راجل كيطلع واحد الحيط ديال الحجارة
104,104,111537222_07e56d5a30.jpg,رجل يصعد جدار صخري,راجل بيطلع حيط صخري,واحد راجل كيطلع واحد الحيط ديال الحجارة
105,105,1115565519_d976d4b1f1.jpg,طفل يلعب مع نافورة على الشاطئ,طفل بيلعب مع نافورة على الشط,واحد ولد صغير كيلعب مع واحد النافورة ف البحر
106,106,1115679311_245eff2f4b.jpg,كلب أسود يقفز فوق حائط على الشاطئ,كلب أسود بيقفز فوق حيط على الشط,كلب أسود كيتسلق واحد الحيط ف البحر
107,107,111766423_4522d36e56.jpg,عصفور أبيض وأسود يأكل من يد شخص ما,عصفور أبيض وأسود بياكل من إيد حد,واحد طير أبيض و أسود كياكل من يد واحد شخص
108,108,1117972841_2b9261f95f.jpg,كلب بني يركض في الرمال,كلب بني بيجري في الرمال,كلب بني كيجري ف الرمال
109,109,1118557877_736f339752.jpg,صبي صغير يقف في الأمواج,ولاد صغير واقف في الموجه,واحد ولد صغير واقف ف الموج
110,110,1119015538_e8e796281e.jpg,كلب مرعب يركض عبر العشب,كلب مرعب بيجري في العشب,كلب مخيف كيجري ف العشب
111,111,1119418776_58e4b93eac.jpg,كلب أسود وبني وأبيض يركض في حقل,كلب أسود وبني وأبيض بيجري في الحقل,كلب أسود و بني و أبيض كيجري ف واحد الحقل
112,112,1119463452_69d4eecd08.jpg,فتاة تسبح في بركة,بنت بتسبح في بركة,واحدة بنت كسبح ف واحد البسين
113,113,1121416483_c7902d0d49.jpg,طفل يقف على رأسه,طفل واقف على راسه,واحد ولد صغير واقف على راسو
114,114,112178718_87270d9b4d.jpg,رجل يقف في الرمال مع لوح التزلج خلفه,راجل واقف في الرمال ومعاه لوح تزلج وراه,واحد راجل واقف ف الرمال مع واحد لوح التزلج وراهو وراه
115,115,112243673_fd68255217.jpg,يتجول ثلاثة أشخاص على دراجات,تلاتة أشخاص بيتمشوا على دراجات,ثلاثة ديال الناس كيدورو على دراجات
116,116,1122944218_8eb3607403.jpg,يحمل الطفل علم أسود صغير عليه قمر ونجم,الطفل شايل علم أسود صغير عليه قمر ونجمة,واحد ولد صغير كيحمل واحد علم صغير أسود عليه قمر و نجمة
117,117,1124448967_2221af8dc5.jpg,ينام رجل نصف عاري على كرسيه في الهواء الطلق,راجل نايم نصه عريان على كرسيه في الهوا,واحد راجل نصف عريان نايم على كرسيه ف الهواء الطلق
118,118,1129704496_4a61441f2c.jpg,كلاب تسترد لعبة من الماء,كلاب بتجيب لعبة من الميه,الكلاب كيرجعو واحد اللعبة من الماء
119,119,1130017585_1a219257ac.jpg,شباب يحتفلون في الشوارع,شباب بيهنوا في الشوارع,شباب كيحطموها ف الشوارع
120,120,1130369873_d80a1aa59c.jpg,كلب أبيض يرش في الماء بينما يحمل كرة في فمه,كلب أبيض برش في الميه وماسك كرة ببوقه,كلب أبيض كيرش ف الماء و هو كيحمل كرة ف فمه
121,121,1130401779_8c30182e3e.jpg,اثنين من الكلاب البنية في الماء,اتنين كلاب بني في الميه,جوج ديال الكلاب بني ف الماء
122,122,1131155939_b4b457b05e.jpg,كلب أسود يركض في المحيط بجانب كومة من الأعشاب البحرية,كلب أسود بيجري في البحر جنب كومة عشب بحر,كلب أسود كيجري ف البحر بجوار واحد كومة ديال الأعشاب البحرية
123,123,1131340021_83f46b150a.jpg,صبي صغير يعمل بينما يرتدي الصنادل,ولاد صغير شغال ولبس صندل,واحد ولد صغير كيشد ف يديه و هو لابس الصنادل
124,124,1131800850_89c7ffd477.jpg,كلب أبيض وبني يقف خارجا في الثلوج,كلب أبيض وبني واقف بره في التلج,كلب أبيض و بني واقف برا ف الثلج
125,125,1131804997_177c3c0640.jpg,رجلان يجلسان على الأرض ويبحثان في حقائب الظهر,اتنين رجالة قاعدين على الأرض وبيفتشوا في شنطهم,جوج ديال الرجال كاقعدو ف الأرض و كيشوفو ف حقائب الظهر
126,126,1131932671_c8d17751b3.jpg,صبي يقفز على السرير,ولاد بيقفز على السرير,واحد ولد صغير كيتسلق على السرير
127,127,1132772170_600610c5df.jpg,طفل يقفز من الفراش إلى السرير,طفل بيقفز من الفراش على السرير,واحد ولد صغير كينزل من الفراش على السرير
128,128,113678030_87a6a6e42e.jpg,يرتاح المتزلج على الجبال,متزلج على الجبال بيرتاح,واحد المتزلج على الجبال كيرتاح
129,129,1138784872_69ade3f2ab.jpg,فتاة تلبس الأخضر تسير في شارع المدينة,بنت لابسة أخضر ماشيه في شارع المدينة,واحدة بنت لابسة الأخضر كتمشي ف شارع المدينة
130,130,114051287_dd85625a04.jpg,صبي يرتدي زي كرة القدم ويحمل حذاءه يخرج من السيارة,ولاد لابس لبس كورة وماسك جزمة بيخرج من العربية,واحد ولد صغير لابس لباس كرة القدم و كيحمل حذائه و هو خارج من السيارة
131,131,1141718391_24164bf1b1.jpg,رجل وامرأة يعبران فوق جسر,راجل و ست بتعدوا فوق كوبري,واحد راجل و واحدة امرأة كيعبر من فوق واحد الجسر
132,132,1141739219_2c47195e4c.jpg,عائلة تجمعوا في سيارة مطلية,عيلة متجمعين في عربية ملونة,واحدة عائلة كاجتمعو ف واحد سيارة مصبوغة
133,133,1142283988_6b227c5231.jpg,امرأة شابة تمتثل مع شخص يرتدي زيًا ورديًا,ست صغيرة بتتبع حد لابس لبس وردي,واحدة بنت شابة كتمشي مع واحد لابس لباس وردي
134,134,1142847777_2a0c1c2551.jpg,راكب دراجة في أحد شوارع المدينة,راكب دراجة في شارع المدينة,واحد راكب دراجة ف واحد شارع ديال المدينة
135,135,1143373711_2e90b7b799.jpg,متسابق الدراجات يعبر الشارع,متسابق دراجات بيعدي الشارع,واحد متسابق الدراجات كيعبر من الشارع
136,136,1143882946_1898d2eeb9.jpg,سيدة ترتدي خوذة تركب دراجة,ست لابسة خوذة راكبة دراجة,واحدة سيدة لابسة خوذة كتركب دراجة
137,137,1144288288_e5c9558b6a.jpg,امرأة مرتدية قميصا أبيض وشورتا أزرق ترتدي سماعات الرأس,ست لابسة قميص أبيض وشورت أزرق ولبسه سماعات,واحدة امرأة لابسة قميص أبيض و شورت أزرق و لابسة سماعات الرأس
138,138,1148238960_f8cacec2fc.jpg,يقف راكبو الدراجات عند تقاطع,ركاب الدراجات واقفين عند تقاطع,راكبي الدراجات واقفين عند تقاطع
139,139,1149179852_acad4d7300.jpg,رجل بلا قميص يرافق حصانًا يسحب عربة على طول طريق مرصوف,راجل من غير قميص ماسك حصان بيسحب عربية على طول طريق مرصوف,واحد راجل بلا قميص كيسوق واحد الحصان كيسحب عربة على طول واحد الطريق مرصوف
140,140,114949897_490ca7eaec.jpg,صبي يضرب الكرة إلى الشباك,ولاد بيضرب الكورة في الشباك,واحد ولد صغير كضرب الكرة ف الشباك
141,141,1151466868_3bc4d9580b.jpg,فتاة صغيرة تلعب في المياه الضحلة,بنت صغيرة بتلعب في المياه الضحلة,واحدة بنت صغيرة كتلعب ف الماء الضحل
142,142,1153704539_542f7aa3a5.jpg,فتاة تلعب البوق في فرقة موسيقية,بنت بتلعب البوق في فرقة موسيقية,واحدة بنت كتلعب البوق ف فرقة موسيقية
143,143,1155138244_859fd6e079.jpg,فتاة آسيوية في قبعة خضراء تقدم المشروبات على صينية,بنت أسيوية لابسة قبعة خضراء بتقدم المشروبات على صينية,واحدة بنت آسيوية لابسة قبعة خضراء كتعطي المشروبات على صينية
144,144,115684808_cb01227802.jpg,يقوم ثلاثة رجال بإعداد زلاجة في سهل ثلجي,تلاتة رجالة بيجهزوا زلاجة في سهل تليجي,ثلاثة ديال الرجال كيحضرو زلاجة ف واحد سهل ثلجي
145,145,1159574340_99ba8c3c59.jpg,طفل يقفز في الماء مع حذاءه الرياضي,طفل بيقفز في الميه ولبس جزمة رياضة,واحد ولد صغير كيتسلق ف الماء مع حذاء رياضي
146,146,1160034462_16b38174fe.jpg,رجل مسن في قبعة من القش يجلس على مقعد,راجل عجوز لابس قبعة قش قاعد على كرسي,واحد راجل عجوز لابس قبعة من القش كاقعد على مقعد
